drug,total_genes,combined_ceiling,top_gene,top_gene_auroc,best_causal_gene,best_causal_mechanism,best_causal_esm,best_causal_imputed,best_causal_onehot
amikacin,2824,0.9570812419877016,lysX,0.8985845197185404,aac(6')-Ib,acquired,0.7403359241594536,0.7819208885989708,0.9570812419877016
ampicillin-sulbactam,2780,0.987027764207784,aadA1,0.9618055555555556,ompK35,mutation,0.5705096251987941,0.8244146495807625,0.8272105520273569
azithromycin,2782,0.5779532929557484,mcrA,0.8427593159065626,msrQ,acquired,0.6584934944851727,0.6641329664746597,0.5779532929557484
aztreonam,2813,0.919465277777778,aadA1,0.8510242085661079,ompK35,mutation,0.5331537364453399,0.7221586859102272,0.7862793209876543
cefazolin,2788,0.9756275503025188,prdF,0.9467004639972504,ompK35,mutation,0.5873299928418039,0.8103971499013276,0.8151794005909668
cefepime,2800,0.8744229562026172,parB,0.8134987641631795,ompK35,mutation,0.5677475091791795,0.6630180949829212,0.7317277512192766
cefotaxime,2816,0.9801546986839066,tnpA,0.9573416700282372,ompK35,mutation,0.5579703118664385,0.7502536128300427,0.7657411683214038
cefoxitin,2807,0.9238331510131792,istB,0.8980538583389907,ompK35,mutation,0.5676992595818815,0.761876689932717,0.8356817905575524
ceftazidime,2788,0.977734942414724,recE,0.940974277259276,ompK35,mutation,0.5606050677151596,0.7845077068260458,0.8015641152807625
ceftriaxone,2802,0.9883307895807896,glmU,0.946295606850335,blaCTX-M-15,acquired,0.5004390779363337,0.8266706135029588,0.8950142450142449
cefuroxime,2812,0.9843434959349594,sutR,1.0,ompK35,mutation,0.6123389355742297,0.8125865606311338,0.8263170731707318
ciprofloxacin,2804,0.9910622415806584,prdF,0.9506746001667552,gyrA,mutation,0.9112716313710526,0.9128343282880512,0.9111708171574658
colistin,2810,0.6489114625943095,ydaT,0.8212121212121212,mcrA,acquired,0.5706540300546448,0.6504544123784548,0.4974865921279883
ertapenem,2845,0.988882716220846,groES,0.9883333333333332,ompK35,mutation,0.5799264887571041,0.7644051600573339,0.8339712785755949
gentamicin,2814,0.9707954683145522,hsdR,0.8101049868766403,aac(3)-IIe,acquired,0.2312684365781711,0.793901692147167,0.9707954683145522
imipenem,2788,0.954703125,tnpA,0.9028316326530612,blaOXA-9,acquired,0.4992717086834734,0.7768693102990288,0.943435546875
levofloxacin,2794,0.9770574083291856,gyrA,0.9549593788564376,gyrA,mutation,0.9549593788564376,0.9562021577189828,0.9643655632984902
meropenem,2808,0.9748806829260024,istB,0.9223947857032336,ompK35,mutation,0.5905155884747721,0.7804802660145805,0.8533726677008892
piperacillin-tazobactam,2804,0.9168788264532944,istB,0.907974487725705,ompK35,mutation,0.5609069219089999,0.7785347135013245,0.790555479784203
tetracycline,2794,0.8284698025551687,iME4,0.8069407480039221,tetR(A),acquired,0.4380952380952381,0.7416299810517017,0.8284698025551687
tobramycin,2809,0.9391291069247092,yqaJ,0.8370776255707763,aac(6')-Ib,acquired,0.4957192699946323,0.8721708510990602,0.9391291069247092
trimethoprim-sulfamethoxazole,2802,0.9705998746455082,mobH,0.8335035750766088,sul2,acquired,0.4882484243697479,0.754670377580764,0.9527916670179964
