rung,family,auroc,auprc,gene,causal
BacF FT mean,Bacformer,0.8215238095238095,0.9547521141990852,,
CARD top: MphA,CARD,0.5517857142857141,0.910967935271202,MphA,True
CARD all-determinant ceiling,CARD,0.5552142857142857,0.9107316376460008,,
ESM OmpK35,ESM,0.6918095238095238,,OmpK35,False
BacF FT OmpK36,Bacformer,0.8544761904761905,,OmpK36,False
BacF FT mean ⊕ ESM OmpK35,Bacformer,0.7980952380952381,0.9517681997262668,OmpK35,False
BacF FT mean ⊕ BacF FT OmpK36,Bacformer,0.8535238095238096,0.9683365545520692,OmpK36,False
BacF FT mean ⊕ frozen BacF GyrA,Bacformer,0.8563809523809524,,GyrA,False
