rung,family,auroc,auprc,gene,causal
BacF FT mean,Bacformer,0.9837963893691448,0.9710804823439314,,
CARD top: KPC,CARD,0.8466775599128539,0.8004892984978403,KPC,True
CARD all-determinant ceiling,CARD,0.9663217138707334,0.9511760440854188,,
ESM KPC,ESM,0.8636966748421857,0.8864555712473184,KPC,True
BacF FT GyrA,Bacformer,0.9898677174218968,0.9886822084981643,GyrA,False
BacF FT mean ⊕ ESM KPC,Bacformer,0.982931928752362,0.964667248154769,KPC,True
BacF FT mean ⊕ BacF FT GyrA,Bacformer,0.987133609424631,0.9862311049026384,GyrA,False
BacF FT mean ⊕ frozen BacF KPC,Bacformer,0.9877367214828516,0.9758541524632688,KPC,True
