rung,family,auroc,gene,causal
BacF FT mean,Bacformer,0.9920438564508568,,
CARD top: CTX-M,CARD,0.7831197789591042,CTX-M,True
CARD all-determinant ceiling,CARD,0.9542139062586962,,
ESM GyrA,ESM,0.8609986197197771,GyrA,False
BacF FT OmpK36,Bacformer,0.9974087192041252,OmpK36,True
BacF FT mean ⊕ ESM GyrA,Bacformer,0.9903185061721964,GyrA,False
BacF FT mean ⊕ BacF FT OmpK36,Bacformer,0.9971027136830044,OmpK36,True
