rung,family,auroc,gene,causal
FT Bacformer mean,Bacformer,0.9606247104758124,,
CARD top: AAC(6'),one-hot,0.8707958147493621,AAC(6'),True
ESM AAC(6'),ESM,0.8591754351134935,AAC(6'),True
FT PmrB,FT_gene,0.9614188339620144,PmrB,False
concat: FT mean ⊕ ESM AAC(6'),mix,0.9635695850704784,AAC(6'),True
concat: FT mean ⊕ FT PmrB,mix_ft,0.9664151942293694,PmrB,False
