gene_name,region,site,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_variants,n_genomes_with_variant,embeddable,is_rrna,is_noncoding
__ALL_WHO_one_hot__,all,__ALL_WHO_one_hot__,0.9581492962419704,0.00021751063789157186,0.9383908843562322,0.0002327219123521438,396,12527,False,False,False
katG,coding,katG,0.8930133754164526,0.00019195072564340504,0.8559257593639098,0.0002470475037234094,368,10703,True,False,False
inhA,non-coding,inhA (promoter),0.6457885928496043,4.997842000356486e-06,0.5462078032295302,3.125917801901385e-05,7,3916,False,False,True
inhA,coding,inhA,0.5213516380011143,0.0,0.3955331963303339,1.1491900087240784e-16,6,544,True,False,False
ahpC,non-coding,ahpC (promoter),0.5096013764076467,3.699056699209324e-06,0.37873059661822833,0.0006390137891331875,6,314,False,False,True
mmaA3,coding,mmaA3,0.5004586104104564,1.1491900087240784e-16,0.36882514848616554,1.1491900087240784e-16,1,27,True,False,False
