rung,family,auroc,auprc,gene,causal
BacF FT mean,Bacformer,0.986789006414341,0.9934444761247412,,
CARD top: OmpK35 (WT),CARD,0.7897381694110666,0.9019168000619808,OmpK35 (WT),False
CARD all-determinant ceiling,CARD,0.9702504573999902,0.989163002400412,,
ESM GyrA,ESM,0.8392591648613058,0.947499286712328,GyrA,False
BacF FT OmpK35,Bacformer,0.9970477040057772,0.9991078512807816,OmpK35,True
BacF FT mean ⊕ ESM GyrA,Bacformer,0.9867465273352872,0.992547018751387,GyrA,False
BacF FT mean ⊕ BacF FT OmpK35,Bacformer,0.9939467312348668,0.9978439064719316,OmpK35,True
BacF FT mean ⊕ frozen BacF OmpK35,Bacformer,0.998045962363536,0.9994459916696378,OmpK35,True
