rung,family,auroc,gene,causal
FT Bacformer mean,Bacformer,0.9696843853820598,,
CARD top: CTX-M,one-hot,0.827027027027027,CTX-M,True
ESM GyrA,ESM,0.8656792174234033,GyrA,False
FT OmpK35,FT_gene,0.9853266888150608,OmpK35,True
concat: FT mean ⊕ ESM GyrA,mix,0.9697305278700628,GyrA,False
concat: FT mean ⊕ FT OmpK35,mix_ft,0.9818660022148396,OmpK35,True
