gene_name,region,site,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_variants,n_genomes_with_variant,embeddable,is_rrna,is_noncoding
__ALL_WHO_one_hot__,all,__ALL_WHO_one_hot__,0.8706444277604234,0.002331167607002547,0.718845031157042,0.0013912106606920826,361,2845,False,False,False
inhA,non-coding,inhA (promoter),0.8256901151644346,0.00025811141848159605,0.6264207400866924,0.0034492532699753058,7,1893,False,False,True
ethA,coding,ethA,0.6082949749814167,0.003157072571050438,0.3061589994164043,0.003541563428416224,347,1397,True,False,False
inhA,coding,inhA,0.5659802383729505,2.497924640661867e-05,0.26874363018792125,0.0012654399335129394,3,306,True,False,False
ethA,non-coding,ethA (promoter),0.5180520735109885,0.0004437554796842627,0.19219413486055012,6.166185584350092e-05,2,127,False,False,True
ethR,coding,ethR,0.5139520125845187,1.1491900087240784e-16,0.1839381667206695,5.745950043620392e-17,2,115,True,False,False
