gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_rrna,is_noncoding
__ALL_Kleborate__,__ALL_Kleborate__,all,0.9910622415806585,0.00013947903690502046,0.9947758876442514,6.379231156789634e-05,31,2791,False,False,False
Flq_mutations,Flq (mutations),chromosomal_mutation,0.9111708171574658,3.447570026172235e-16,0.9459890484484499,1.0698376758482636e-16,12,2132,False,False,True
Flq_acquired,Flq (acquired),acquired_hgt,0.6776352197287714,0.0009540878995130846,0.8087584355800155,0.0009192798004307228,19,1440,True,False,False
