drug,ceiling_auroc,ceiling_auprc,ceiling_auroc_sd,n_determinants,n_carriers,ceiling_catalogue,ceiling_grain,ceiling_estimator,ceiling_status
amikacin,0.9496523777901257,0.8575741938606127,0.0,60,2762,CARD,allele,deployment_holdout,current
ampicillin-sulbactam,0.9738080577058409,0.9960410050561856,0.0,170,2249,CARD,allele,deployment_holdout,current
azithromycin,0.5584099136730716,0.9036428015865325,0.0,8,657,CARD,allele,deployment_holdout,current
aztreonam,0.8462138309388818,0.948049841038457,0.0,185,3006,CARD,allele,deployment_holdout,current
cefazolin,0.9707152315339,0.9889699234699407,0.0,202,2966,CARD,allele,deployment_holdout,current
cefepime,0.8469441367754396,0.8971584626206535,0.0,204,2783,CARD,allele,deployment_holdout,current
cefotaxime,0.9841008328616478,0.9895481315175053,0.0,174,2322,CARD,allele,deployment_holdout,current
cefoxitin,0.9219432550495221,0.954072060014446,0.0,198,3093,CARD,allele,deployment_holdout,current
ceftazidime,0.9777661651318253,0.9891214974683564,0.0,228,4752,CARD,allele,deployment_holdout,current
ceftriaxone,0.9818353994490358,0.9945802195518654,0.0,218,3408,CARD,allele,deployment_holdout,current
cefuroxime,0.9659518434913469,0.9961040054010734,0.0,164,2424,CARD,allele,deployment_holdout,current
ciprofloxacin,0.9542609106478473,0.9709610884052224,0.0,24,4374,CARD,allele,deployment_holdout,current
colistin,0.656328502415459,0.46387175213256204,0.0,7,1410,CARD,allele,deployment_holdout,current
ertapenem,0.9827904799448112,0.9869470646964469,0.0,168,2121,CARD,allele,deployment_holdout,current
gentamicin,0.9750524582614702,0.9529681989649553,0.0,60,3535,CARD,allele,deployment_holdout,current
imipenem,0.963152666542497,0.960239958433223,0.0,173,2545,CARD,allele,deployment_holdout,current
levofloxacin,0.9374731529209622,0.9813330198904365,0.0,21,2398,CARD,allele,deployment_holdout,current
meropenem,0.9642084562438545,0.9491996552427309,0.0,234,4618,CARD,allele,deployment_holdout,current
piperacillin-tazobactam,0.9444321638254226,0.9694300479132638,0.0,214,3446,CARD,allele,deployment_holdout,current
tetracycline,0.8207163207163207,0.8270960766344513,0.0,11,841,CARD,allele,deployment_holdout,current
tobramycin,0.9434803151617311,0.9585504991918009,0.0,56,2098,CARD,allele,deployment_holdout,current
trimethoprim-sulfamethoxazole,0.9631622111241677,0.972300779597952,0.0,29,2978,CARD,allele,deployment_holdout,current
