gene_name,annotation,prevalence,lr_auroc_isoniazid,n_train,n_pos,kept_filtered
nei1,,0.997,0.5136837648624265,1992,997,False
ask,,0.998,0.5136581009100696,1992,998,False
bDS1,,0.988,0.5136433534424678,1972,985,False
tatD,,0.9715,0.5134385564343474,1948,969,False
lipE,,0.9925,0.513422293111551,1983,994,False
cDA1,,0.9945,0.513412323715351,1987,995,False
gltA2,,0.9965,0.5134064164323958,1991,997,False
yoaK,,0.993,0.5133964899495961,1988,998,False
radA,,0.989,0.5133697871322163,1982,995,False
ffh,,0.97,0.5133623309225243,1942,973,False
acg,,0.998,0.5133589915216421,1986,996,False
ycjR,,0.977,0.5133286044556535,1951,975,False
rpsA,,0.99,0.5132351971765994,1986,995,False
dagK,,0.996,0.5132284137858368,1987,994,False
korB,,0.996,0.5132022839649147,1993,995,False
pyk,,0.986,0.5131747638326586,1978,990,False
yggE,,0.981,0.5131737835382333,1956,979,False
luxR,,0.7535,0.513165146852554,1509,811,False
parB,,0.9895,0.5131253020169657,1985,996,False
cpsY,,0.9985,0.5131190777358399,1985,994,False
mbtE,,0.9745,0.5130862926091213,1943,972,False
cyp141,,0.9905,0.5130625035144489,1978,993,False
treZ,,0.9055,0.513055985702877,1814,942,False
nicT,,0.999,0.5130203330535978,1989,995,False
mutA,,0.9695,0.5129174833897614,1942,964,False
caeB,,0.9795,0.51282015017082,1954,973,False
echA13,,0.9905,0.5128111571836584,1970,989,False
sigC,,0.9925,0.5127289068643973,1979,990,False
nuoF,,0.9875,0.5127273100552782,1974,989,False
log,,0.9995,0.5127202067586913,1994,997,False
ppsE,,0.9685,0.5126485421692932,1934,966,False
espG,,0.995,0.5126168243160063,1991,997,False
glpD2,,0.988,0.5126099047151679,1978,990,False
nagA,,0.9575,0.5125648187252644,1917,961,False
mmaA1,,0.9945,0.5125521742122756,1988,994,False
mutM,,0.9885,0.512544429464395,1979,995,False
spoIIM,,0.9935,0.512528494574633,1987,997,False
cysS,,0.9825,0.5124458785034374,1968,992,False
lppA,,0.508,0.5124206583875419,1015,445,False
herA,,0.9775,0.5123706122960057,1958,988,False
ppsD,,0.987,0.512362333583971,1972,989,False
eccB4,,0.968,0.5123537047168495,1931,965,False
iscS,,0.996,0.5122910998834046,1988,996,False
yadH,,0.9945,0.5122602387546866,1986,997,False
lprC,,0.9995,0.5122225393615718,1995,998,False
gdh,,0.9755,0.512164737845266,1949,979,False
zmp1,,0.991,0.5121575450677723,1981,994,False
ctaE,,0.994,0.5121448978764792,1987,995,False
miaB,,0.9265,0.5121112407344671,1860,929,False
fprB,,0.975,0.5120716707735725,1949,969,False
yccF,,0.9955,0.512043647426729,1990,996,False
papA1,,0.988,0.5119776339325666,1972,989,False
fadD13,,0.9965,0.511960809070478,1990,995,False
hisB,,0.99,0.5119497348463249,1982,994,False
mtr,,0.9845,0.5119258198125254,1963,985,False
fumC,,0.994,0.5119052669430235,1990,996,False
lpqH,,0.9955,0.5117663788540191,1988,997,False
lipZ,,0.997,0.5117202478254728,1991,995,False
accC,,0.958,0.5117067893180236,1918,958,False
shy1,,0.996,0.511693089208499,1987,996,False
qcrB,,0.996,0.5116860685336229,1990,995,False
pks10,,0.87,0.5116276137410376,1737,898,False
vapB48,,0.9985,0.5116221749387578,1994,999,False
rfaB,,0.941,0.5116179966044143,1880,950,False
yjbM,,0.99,0.5116169602697498,1975,993,False
nuoJ,,0.9975,0.5114198705748002,1993,999,False
secG,,0.988,0.5112884032831231,1984,991,False
relE,,0.994,0.5112732336380699,1991,995,False
cei,,0.956,0.5111349773725979,1913,965,False
ilvX,,0.958,0.5110642536941724,1901,951,False
glgM,,0.9875,0.5110564831993404,1970,990,False
eccC3,,0.9855,0.5110536477297288,1962,984,False
eccCa1,,0.997,0.5110462171221914,1991,997,False
purH,,0.9745,0.5110446637671462,1956,976,False
cobG,,0.959,0.5110306616108786,1916,956,False
trmI,,0.9945,0.5109871926063086,1985,992,False
pPE37,,0.409,0.5109602864583334,812,300,False
tobH,,0.9915,0.5108837620922213,1983,993,False
ldtMt5,,0.9955,0.510879881796306,1984,992,False
jag,,0.993,0.5108672061985315,1986,996,False
fadD3,,0.9725,0.5108299886534912,1944,972,False
uppP,,0.992,0.510816068022064,1986,997,False
folK,,0.9895,0.5107161637839144,1985,994,False
echA8,,0.9965,0.5106797024174267,1984,993,False
dprE1,,0.9985,0.510655849852315,1994,998,False
recA,,0.9865,0.5106086789554531,1979,992,False
purN,,0.9895,0.5105816195896801,1981,992,False
pknI,,0.982,0.5105392018911465,1959,978,False
mngR,,0.9875,0.5104998627201088,1976,994,False
cwsA,,0.9905,0.5104800530558106,1980,990,False
yejR,,0.995,0.5104148918907955,1986,996,False
lppI,,0.994,0.5103586689768355,1984,995,False
fadD8,,0.99,0.5103029343574135,1979,994,False
tgs1,,0.999,0.5102996677720851,1996,999,False
dinB2,,0.995,0.5102696355553394,1987,996,False
leuC,,0.987,0.510209975953674,1978,992,False
yqeY,,0.996,0.5101660418107474,1989,996,False
fabG4,,0.9935,0.5101590530699824,1988,995,False
