drug,ceiling_auroc,ceiling_auprc,ft_auroc,ft_auprc,concat_auroc,concat_auprc
cefotaxime,0.9801546986839066,0.9911114119976818,0.9902,0.9947,1.0,1.0
ertapenem,0.988882716220846,0.9949470623252183,0.987,0.9843,1.0,1.0
ampicillin-sulbactam,0.987027764207784,0.9979717545615928,0.9836,0.9979,0.9889125799573562,0.9977671540206392
ceftriaxone,0.9883307895807896,0.9966883768625764,0.9824,0.9923,0.994379276637341,0.9980116186814376
cefuroxime,0.9843434959349594,0.9984206956884604,0.9818,0.9976,0.9965672990063236,0.9996537793880688
ciprofloxacin,0.9910622415806584,0.9947758876442514,0.9817,0.9914,0.9783888665863776,0.9892098608872376
ceftazidime,0.977734942414724,0.9897596405864404,0.9792,0.991,0.9999423498212844,0.9999763408188131
gentamicin,0.9707954683145522,0.9631579902217366,0.978,0.97,0.1823529411764705,0.8994930883622886
cefazolin,0.9756275503025188,0.9918657065678184,0.9727,0.9882,0.987240506329114,0.9969251106208326
imipenem,0.954703125,0.9464446508952976,0.9726,0.9477,0.9283333333333332,0.9562706099641056
meropenem,0.9748806829260024,0.9696661133270617,0.9687,0.9452,0.9886578886578886,0.9372496677722172
trimethoprim-sulfamethoxazole,0.9705998746455082,0.9810458893090094,0.9655,0.9791,0.9926426426426428,0.9993986325100288
tobramycin,0.9391291069247092,0.9538014242796437,0.9652,0.967,0.7893617021276597,0.98099650633526
amikacin,0.9570812419877016,0.8678136798537132,0.9545,0.8941,0.96915504511895,0.936951358513653
levofloxacin,0.9770574083291856,0.990794246841304,0.9489,0.9843,0.9703146755778336,0.9918287307625568
piperacillin-tazobactam,0.9168788264532944,0.9476026203716228,0.9431,0.9621,0.9643323996265172,0.978455314277236
cefoxitin,0.9238331510131792,0.955920164754364,0.9198,0.9407,0.9640467836257312,0.9632370067097572
tetracycline,0.8284698025551687,0.8395818906142941,0.9139,0.9438,0.311111111111111,0.957418949940914
aztreonam,0.919465277777778,0.974550842458608,0.8895,0.9634,0.9196873473375674,0.9738288999594258
cefepime,0.8744229562026172,0.92028441617756,0.882,0.9291,0.97376267143709,0.9724888471999136
azithromycin,0.5779532929557484,0.8969806426342017,0.8268,0.9678,0.7927225471085121,0.909847721713666
colistin,0.6489114625943095,0.4662866256640524,0.8072,0.6855,0.9253571428571428,0.8954654092601906
