mean,ingredient,delta_mean,std,count
frozen_mean,esm,0.025774060514481303,0.03038318534595035,22
frozen_mean,frozen_bac,0.02796550246617532,0.030665570366095046,22
frozen_mean,ft_bac,0.09174061098345936,0.048654039963534505,22
ft_mean,esm,-0.0008250694066064771,0.006889031954787271,22
ft_mean,frozen_bac,0.0044712883848105405,0.008622938572568264,22
ft_mean,ft_bac,0.007071540096950873,0.008513650482965499,22
