rung,family,auroc,auprc,gene,causal
BacF FT mean,Bacformer,0.9882320133853876,0.995777202530146,,
CARD top: CTX-M,CARD,0.8329853862212941,0.915580756841965,CTX-M,True
CARD all-determinant ceiling,CARD,0.9712741737330002,0.9889962903106628,,
ESM GyrA,ESM,0.8356804238706079,,GyrA,False
BacF FT OmpK35,Bacformer,0.9898633575013944,,OmpK35,True
BacF FT mean ⊕ ESM GyrA,Bacformer,0.9819297267150028,0.9927229322636366,GyrA,False
BacF FT mean ⊕ BacF FT OmpK35,Bacformer,0.9893614054657,0.9961772518030848,OmpK35,True
BacF FT mean ⊕ frozen BacF OmpK35,Bacformer,0.9911042944785275,,OmpK35,True
