gene_name,mut_auroc,mut_auroc_sd,n_variants,n_genomes_with_variant,embeddable,is_rrna
__ALL_WHO_one_hot__,0.9081418894334355,0.0013678882222797862,149,2599,False,False
rpsL,0.7752805611539471,1.1491900087240784e-16,6,1470,True,False
rrs,0.5863092695654559,0.0015449954258965055,14,576,False,True
gid,0.5518286438674147,0.001116452202535601,129,685,False,False
