gene_name,mut_auroc,mut_auroc_sd,n_variants,n_genomes_with_variant,embeddable,is_rrna
__ALL_WHO_one_hot__,0.9354272802969602,0.0008480221378133809,67,6920,False,False
embB,0.9215939100240711,0.0008682421878714222,55,6647,True,False
embA,0.5617407087279018,3.143028988418596e-05,6,881,True,False
