gene_name,mut_auroc,mut_auroc_sd,n_variants,n_genomes_with_variant,embeddable,is_rrna
__ALL_WHO_one_hot__,0.854428236195633,0.008382369162603688,466,2432,False,False
pncA,0.8543243960144884,0.008388719599524244,464,2423,True,False
