gene_name,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_variants,n_genomes_with_variant,embeddable,is_rrna
__ALL_WHO_one_hot__,0.9581492962419704,0.00021751063789157186,0.9383908843562322,0.0002327219123521438,396,12527,False,False
katG,0.8934016391449383,0.00019212122354773448,0.8564029074672348,0.00024771585327262874,370,10711,True,False
inhA,0.6496695279080765,2.723103827294005e-05,0.5525987851227235,0.00012881166299789353,13,4023,True,False
ahpC,0.5096013764076467,3.699056699209324e-06,0.3787296962263741,0.0006399432319767517,10,318,True,False
mmaA3,0.5004586104104564,1.1491900087240784e-16,0.36882514848616554,1.1491900087240784e-16,1,27,True,False
