gene_name,mut_auroc,mut_auroc_sd,n_variants,n_genomes_with_variant,embeddable,is_rrna
__ALL_WHO_one_hot__,0.8706444277604234,0.002331167607002547,361,2845,False,False
inhA,0.8278557979207538,0.00021563701860066736,10,1932,True,False
ethA,0.6275321353610378,0.002811206494971709,349,1524,True,False
ethR,0.5139520125845187,1.1491900087240784e-16,2,115,True,False
