gene_name,annotation,prevalence,lr_auroc_pyrazinamide,n_train,n_pos,kept_filtered
guaA,,0.9885,0.5330983198822395,1985,995,False
accC,,0.984,0.5328854416260431,1968,988,False
yggE,,0.996,0.5328849324302375,1985,992,False
pyrC,,0.99,0.532820645975888,1982,992,False
mbtG,,0.998,0.5328177423654811,1994,995,False
vapC12,,0.9945,0.5327787966381655,1988,996,False
mmpL8,,0.995,0.5327067699704381,1985,993,False
araD,,0.99,0.5326918622862572,1980,993,False
gltX,,0.9885,0.5326842008797653,1982,992,False
pPE62,,0.8225,0.5326796805678793,1645,840,False
vapC46,,0.995,0.5326728434700181,1981,991,False
pPE61,,0.952,0.5326215462274176,1901,960,False
yprB,,0.131,0.532579185520362,261,91,False
secE,,0.9885,0.5325538100711033,1984,993,False
hemB,,0.9905,0.5321513326031398,1986,996,False
kdpC,,0.992,0.5320454234920827,1988,993,False
yafJ,,0.9955,0.5318959992676006,1983,993,False
tra8,,0.997,0.5318644316745941,1994,998,False
pE_PGRS62,,0.988,0.5317912706829625,1971,986,False
yajC,,0.9895,0.5317626550152177,1982,991,False
xseA,,0.9825,0.5314932427975396,1970,986,False
fadD26,,0.997,0.531464440566943,1988,994,False
accD3,,0.9915,0.5312217434159614,1982,994,False
galT,,0.7,0.5310944814751047,1400,746,False
glpR,,0.992,0.5308417771722584,1982,993,False
fadE29,,0.996,0.5307726373773038,1989,996,False
rip2,,0.994,0.5307220969320454,1987,994,False
mtc28,,0.9985,0.5307106675662884,1993,995,False
ddaH,,0.997,0.5306627714468708,1993,996,False
uvrB,,0.985,0.5306608186237675,1978,993,False
lppI,,0.9975,0.5306543670842692,1992,994,False
eccC5,,0.9975,0.530600184018685,1989,994,False
ispF,,0.994,0.5305424305043644,1993,996,False
yqfO,,0.994,0.5305057452883373,1988,997,False
pknD,,0.9485,0.5304289253207892,1896,925,False
gadA,,0.9915,0.5304242415559003,1977,989,False
pE_PGRS29,,0.7585,0.5303084817639107,1515,722,False
betT,,0.9935,0.5301309366774666,1987,993,False
dacB2,,0.9965,0.5301026785488369,1988,993,False
fabG4,,0.998,0.5300375601278309,1996,999,False
rtcB,,0.9935,0.5300360444814692,1977,991,False
accD5,,0.995,0.5300107256767055,1992,998,False
ligC,,0.9965,0.530006868035037,1993,999,False
scoB,,0.9985,0.5299867812960384,1991,995,False
metG,,0.9885,0.5299151527665177,1988,999,False
ilvA,,0.986,0.5297685434846553,1979,992,False
hisB,,0.9885,0.52969826271234,1980,993,False
fabG3,,0.998,0.5296447094912312,1991,996,False
aroA,,0.9855,0.5295912570144061,1975,992,False
mmuM,,0.9965,0.5295166907758452,1992,997,False
pPE69,,0.957,0.5294796291559822,1913,959,False
fadD2,,0.996,0.5294152266226967,1994,997,False
dprA,,0.9875,0.5294005226850191,1981,992,False
menB,,0.993,0.5292642055758519,1987,993,False
infC,,0.9895,0.5292505035297946,1983,995,False
ripB,,0.9975,0.5291647068755502,1995,999,False
lpqT,,0.9975,0.529068079547104,1992,996,False
cyp132,,0.995,0.5290631503642039,1984,992,False
hutI,,0.297,0.5290006558452206,599,428,False
hIS2,,0.9935,0.5289704111194297,1983,991,False
dnaX,,0.989,0.5289559418899584,1984,992,False
rlmN,,0.904,0.5289493403270265,1815,946,False
kasA,,0.996,0.5289239578030573,1992,997,False
murD,,0.984,0.528901065217302,1972,986,False
vapC48,,0.997,0.528767504798116,1991,993,False
modA,,0.991,0.5287077449939281,1984,995,False
furA,,0.9975,0.5286548319486882,1990,995,False
dnaA,,0.9885,0.5285806086151447,1985,993,False
idi,,0.9965,0.5285350069633372,1988,992,False
vapC6,,0.9775,0.5284976723351167,1955,971,False
ytcJ,,0.989,0.5284773995260197,1972,984,False
mrr,,0.9975,0.528400276205501,1992,995,False
lipM,,0.9915,0.5283292271322576,1983,989,False
bglX,,0.983,0.5282581394099883,1968,986,False
ycgM,,0.9935,0.5281767787369608,1984,989,False
yliI,,0.995,0.5281760917262367,1989,994,False
apt,,0.9925,0.5281492182154481,1985,994,False
