rung,family,auroc,auprc,gene,causal
BacF FT mean,Bacformer,0.9319371727748692,0.9288415121035358,,
CARD top: TetA,CARD,0.7631310692633727,0.7897729391562083,TetA,True
CARD all-determinant ceiling,CARD,0.8658189817050272,0.8794593567443842,,
ESM TetA,ESM,0.7347193473761111,0.7948131911787717,TetA,True
BacF FT PmrB,Bacformer,0.9485876050164374,0.956084282234885,PmrB,False
BacF FT mean ⊕ ESM TetA,Bacformer,0.9325764032631194,0.9384129176112812,TetA,True
BacF FT mean ⊕ BacF FT PmrB,Bacformer,0.9469134299281626,0.9487708674348,PmrB,False
BacF FT mean ⊕ frozen BacF TetA,Bacformer,0.9308413490807256,0.9421271641825184,TetA,True
