gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_rrna,is_noncoding
__ALL_Kleborate__,__ALL_Kleborate__,all,0.9705998746455082,0.00027548295923406416,0.9810458893090094,0.00015654100862034652,27,2619,False,False,False
Tmt_acquired,Tmt (acquired),acquired_hgt,0.9527916670179963,0.0005194993877418219,0.9671974433390661,0.00030256044227528405,24,2442,True,False,False
Sul_acquired,Sul (acquired),acquired_hgt,0.9202340700017706,1.1491900087240784e-16,0.945010348216748,2.298380017448157e-16,3,2362,True,False,False
