gene_name,region,site,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_variants,n_genomes_with_variant,embeddable,is_rrna,is_noncoding
__ALL_WHO_one_hot__,all,__ALL_WHO_one_hot__,0.9081418894334355,0.0013678882222797862,0.8465526106724016,0.001088554479511574,149,2599,False,False,False
rpsL,coding,rpsL,0.7752805611539471,1.1491900087240784e-16,0.662691015140437,0.0,6,1470,True,False,False
rrs,non-coding,rrs (promoter),0.5863092695654559,0.0015449954258965055,0.385153452495645,0.0034288680111479925,14,576,False,True,True
gid,coding,gid,0.5518286438674147,0.001116452202535601,0.33253501162916177,0.0012566889573384832,129,685,False,False,False
