gene_name,annotation,prevalence,lr_auroc_streptomycin,n_train,n_pos,kept_filtered
papA2,,0.995,0.6439529594700901,1980,993,False
recX,,0.985,0.6439243922544458,1974,993,False
ponA2,,0.996,0.643133447495566,1981,996,False
ponA1,,0.9355,0.6427643249751829,1866,944,False
spmT,,0.9765,0.6427079195539276,1951,978,False
pPE17,,0.9695,0.6424504094572671,1927,958,False
hcaE,,0.9885,0.6421560299656133,1977,992,False
pPE66,,0.213,0.6418098786203582,422,157,False
fdhD,,0.9845,0.6417805861526357,1976,992,False
cyp143,,0.997,0.6416478803400452,1978,993,False
dkgA,,0.995,0.6413205138596207,1987,995,False
mtrB,,0.9945,0.6411746547440121,1988,995,False
mftR,,0.997,0.6407342630907799,1992,995,False
preP,,0.902,0.640579934106826,1802,955,False
ansA,,0.991,0.6402893175677875,1983,991,False
glgB,,0.987,0.6401752317038082,1987,996,False
pPE20,,0.9915,0.6400178614505756,1974,989,False
plcC,,0.95,0.6395550467691187,1887,974,False
maf,,0.988,0.6391422723331861,1978,994,False
kstD,,0.9855,0.6386304128902316,1968,993,False
secA2,,0.9945,0.6383708698913859,1981,992,False
lppW,,0.997,0.6377627445264931,1988,996,False
lipI,,0.9915,0.6376273882745533,1978,986,False
fadD6,,0.9985,0.637445097388941,1989,997,False
ftsK,,0.202,0.6371686865701054,403,199,False
fadD19,,0.3535,0.6370692431561996,705,345,False
lysS,,0.9805,0.6356851321549652,1972,988,False
narJ,,0.992,0.6356452631150211,1982,992,False
adnB,,0.9935,0.6355867118583379,1983,991,False
rfbC,,0.9885,0.6349451239980678,1977,993,False
vapC37,,0.9955,0.6348981507230256,1978,992,False
recR,,0.9795,0.634173284337904,1973,992,False
ileS,,0.979,0.6338347463119961,1964,989,False
mutT4,,0.986,0.6333751966214675,1968,989,False
mycP4,,0.9905,0.6332409900847082,1969,990,False
pknJ,,0.995,0.6319071791153009,1972,987,False
glcB,,0.995,0.6315427576967505,1986,997,False
trpG,,0.998,0.6312052229016568,1991,996,False
oxyS,,0.9985,0.6307152613619753,1992,995,False
bglS,,0.9885,0.6306849838014073,1969,989,False
nrtS,,0.995,0.6305852494797218,1985,995,False
glfT1,,0.998,0.6301763152360306,1989,997,False
tap,,0.989,0.6281710474937834,1973,988,False
purU,,0.9855,0.6278738420369935,1979,994,False
rskA,,0.9945,0.6269281078760638,1990,995,False
skfB,,0.9955,0.6268427923748342,1985,994,False
glpQ1,,0.989,0.6259026874057549,1968,990,False
umaA,,0.9885,0.6246126086134473,1973,989,False
ethA,,0.966,0.6245227228900173,1933,940,False
vapB47,,0.3835,0.6226507006439844,761,388,False
pPE3,,0.945,0.6217315106905011,1881,951,False
cut1,,0.245,0.6201646729843096,485,157,False
mmpL12,,0.935,0.6194651561633031,1868,942,False
pPE14,,0.993,0.6176047671744593,1984,991,False
ctpV,,0.9725,0.6173074921569502,1941,987,False
yprA,,0.9955,0.6152410919417213,1981,994,False
dinG,,0.9825,0.6149204565211992,1966,988,False
glgP,,0.9905,0.6138663056991429,1978,992,False
erp,,0.9805,0.6134612029920323,1951,978,False
lpd,,0.991,0.6112109699400402,1974,991,False
cut5b,,0.8995,0.6111102783190926,1793,953,False
kdpE,,0.9385,0.6107729050751064,1875,887,False
gp36,,0.3525,0.6084983196960843,700,236,False
embC,,0.9975,0.6051885813761658,1988,995,False
oxc,,0.997,0.6032764222720026,1991,996,False
lipY,,0.9935,0.5993677427509052,1981,992,False
pPE30,,0.978,0.5978849978821458,1946,977,False
pPE33,,0.994,0.5973195346146429,1980,993,False
iniR,,0.9975,0.5969478126364679,1980,994,False
lppN,,0.998,0.5968412050180408,1988,995,False
damX,,0.9945,0.5965837409473754,1974,989,False
terC2,,0.9935,0.5955065580047487,1974,991,False
gph,,0.8295,0.5942412815637536,1662,854,False
pheT,,0.9815,0.5936927501829926,1967,988,False
kgd,,0.998,0.592614679824827,1991,996,False
ino1,,0.9735,0.5911252174281957,1942,970,False
murG,,0.979,0.5905618871061858,1968,985,False
pPE19,,0.3225,0.5902572713411691,645,342,False
eccA3,,0.997,0.5877959677255453,1984,994,False
yjiN,,0.996,0.5866859651535252,1989,997,False
whiB6,,0.9835,0.5866171841959513,1962,981,False
glpR,,0.9865,0.5862998694238224,1974,992,False
ypfJ,,0.988,0.586270365973473,1977,992,False
galT,,0.6995,0.5855164330873736,1398,762,False
vapC40,,0.9975,0.5854926309643937,1990,997,False
yjqB,,0.9945,0.5853798645642105,1987,996,False
sGA1,,0.9925,0.5850044199960209,1975,994,False
pPE25,,0.227,0.583681436658208,453,235,False
aao,,0.9885,0.5834223130192197,1972,994,False
accD2,,0.994,0.5831267916789881,1984,993,False
cyp136,,0.9975,0.5829646219022679,1989,995,False
mkl,,0.9975,0.5826433243012209,1992,996,False
atsB,,0.9885,0.5824364288782341,1973,982,False
cya,,0.9795,0.5822170165819879,1955,966,False
tdh,,0.985,0.5807802145009895,1974,986,False
dapD,,0.9845,0.5802779568737015,1977,990,False
fadH2,,0.9915,0.5799086407863272,1978,991,False
eccE2,,0.981,0.5798538218749151,1957,979,False
dop,,0.998,0.5797078323384355,1987,996,False
galK,,0.9805,0.579612241674564,1962,984,False
pta,,0.9855,0.578505534582819,1976,991,False
irtA,,0.996,0.5773148317688179,1983,996,False
ispE,,0.9815,0.5768984155038123,1973,988,False
mprB,,0.989,0.5768487102021845,1968,993,False
pimF,,0.993,0.5765212703192073,1983,995,False
hsdM,,0.9935,0.5765001834232157,1984,993,False
tyrA,,0.8385,0.5763744181761832,1674,857,False
deaD,,0.994,0.5760057865082991,1985,995,False
oPT,,0.9905,0.5758164395861479,1971,992,False
gyrB,,0.981,0.5756068688873726,1967,987,False
rip,,0.998,0.5753475332351586,1988,995,False
ygiQ,,0.9925,0.5752563671769044,1988,994,False
iniA,,0.9945,0.5749189295726647,1974,991,False
disA,,0.9915,0.5748077952039843,1983,994,False
rtcB,,0.9875,0.5744764701977964,1964,992,False
chp1,,0.9965,0.5743266474478824,1983,994,False
pPE12,,0.9935,0.5742830969557181,1978,994,False
eccA2,,0.928,0.5742233479065075,1851,939,False
pstP,,0.955,0.573970592774527,1905,964,False
pheS,,0.9825,0.5739029725240145,1969,990,False
trcS,,0.997,0.5738526202716806,1983,994,False
yhgE,,0.987,0.5738348005682798,1974,988,False
eccCb1,,0.9965,0.5732502012076504,1989,993,False
fabD,,0.945,0.5731640900869389,1901,958,False
mas,,0.9855,0.5728899158447573,1967,987,False
marP,,0.9965,0.5725240575346368,1983,995,False
nnr,,0.95,0.5723160252841777,1888,956,False
lpqW,,0.998,0.5721856390870476,1984,994,False
dhaA,,0.979,0.571510736196319,1954,978,False
cyp144,,0.992,0.5709813682558044,1968,988,False
ubiA,,0.9895,0.5707851690738613,1982,996,False
cobM,,0.994,0.5707188819982861,1986,995,False
embA,,0.9975,0.5706996332102603,1988,996,False
fadD25,,0.99,0.5703218293500842,1978,994,False
pPE13,,0.302,0.5703060698177189,604,293,False
pccA,,0.984,0.5702149878168045,1965,989,False
devS,,0.997,0.5702127336885636,1989,994,False
sapM,,0.9985,0.5698694884290537,1988,995,False
cyp135A1,,0.997,0.5697659175554212,1984,995,False
ansP1,,0.9985,0.5694941244359977,1986,997,False
hsaB,,0.996,0.5688193547603528,1988,994,False
rffA,,0.982,0.568806962505903,1961,982,False
cstA,,0.9875,0.5685736404972689,1979,991,False
prcA,,0.998,0.5685625095172835,1985,995,False
sucB,,0.994,0.5683368004749119,1982,993,False
pPE40,,0.317,0.5682350436448799,629,244,False
mazF3,,0.9985,0.5680125804549326,1992,997,False
fadD2,,0.996,0.5679549659767651,1989,994,False
rip2,,0.9935,0.567834437018727,1983,993,False
tatB,,0.988,0.5677807677410148,1981,996,False
ydbT,,0.9875,0.5675159760874047,1970,990,False
pPE65,,0.9905,0.5674033291976839,1967,992,False
glnD,,0.955,0.5672060758938364,1910,940,False
lpqY,,0.998,0.5671574628493855,1990,996,False
cYB5,,0.6375,0.5670336855047096,1270,496,False
adh,,0.996,0.5666852520746971,1990,996,False
ycjD,,0.9955,0.5665079429405091,1987,995,False
pPE22,,0.983,0.5663662631784459,1960,985,False
pdxI,,0.992,0.5662755662648638,1981,994,False
birA,,0.985,0.5662439114523721,1974,989,False
secE,,0.9795,0.5656863348936519,1974,990,False
ykfC,,0.6175,0.5649182205602439,1233,462,False
espE,,0.9345,0.5648411617240462,1864,947,False
uvrD2,,0.995,0.564717741935484,1987,992,False
tadA,,0.9595,0.5645815978795911,1923,973,False
ycaO,,0.9755,0.5643593050459488,1950,976,False
exeA,,0.99,0.5642686913683553,1975,988,False
walK,,0.983,0.5642421391045243,1956,981,False
clcA,,0.976,0.5641498044773378,1952,975,False
lppE,,0.994,0.5639867175064159,1985,992,False
mymA,,0.945,0.5633002127889781,1884,952,False
pPE32,,0.998,0.5632796409034093,1988,995,False
carB,,0.9765,0.56323512787245,1964,993,False
clpC,,0.9875,0.5629045032812854,1972,990,False
pPE28,,0.986,0.5625938159826103,1963,986,False
chlI,,0.992,0.562043754741285,1982,995,False
virS,,0.9955,0.5619218720367852,1986,993,False
comEA,,0.9895,0.5616007406783249,1973,991,False
betT,,0.9865,0.5615095113572272,1975,990,False
osmF,,0.988,0.561411149825784,1971,984,False
