drug,ceiling_auroc,ceiling_auprc,concat_auroc,concat_auprc
ciprofloxacin,0.9767607365138516,0.9842751701590609,0.9868192918192916,0.99439912980312
amikacin,0.8974626782531195,0.751547603732972,0.9717614963794928,0.9263639521936968
aztreonam,0.8893972754024337,0.9625875496793944,0.9594064330717365,0.9851752510372378
cefoxitin,0.928084401325508,0.9532402089767869,0.9592973066298344,0.9748044363002448
azithromycin,0.5552142857142857,0.9107316376460008,0.931796833064949,0.987400589322316
colistin,0.6798724264241509,0.4956775003463417,0.8978418953788412,0.8445495160783407
tetracycline,0.8658189817050272,0.8794593567443842,0.8603071036106751,0.8748552480597442
