drug,ceiling_auroc,ceiling_auprc,concat_auroc,concat_auprc
rifampicin,0.966581111296031,0.9391640628243818,0.9817649942182564,0.9666358021855872
isoniazid,0.9581492962419704,0.9383908843562322,0.9653922228728312,0.954988464975316
streptomycin,0.9081418894334355,0.8465526106724016,0.9488500264970854,0.9038655752059088
kanamycin,0.8985241596874007,0.7735772454889674,0.9122696769134976,0.7862060729825888
ethionamide,0.8706444277604234,0.718845031157042,0.9101323106630635,0.7424957838914474
