gene_name,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_variants,n_genomes_with_variant,embeddable,is_rrna
__ALL_WHO_one_hot__,0.8706444277604234,0.002331167607002547,0.718845031157042,0.0013912106606920826,361,2845,False,False
inhA,0.8278557979207538,0.00021563701860066736,0.6481020442802321,0.0028527436983113697,10,1932,True,False
ethA,0.6275321353610378,0.002811206494971709,0.3378448625009251,0.003081785865502272,349,1524,True,False
ethR,0.5139520125845187,1.1491900087240784e-16,0.1839381667206695,5.745950043620392e-17,2,115,True,False
