contrast	method	n_samples	lambda	n_variants_tested	n_hits	n_rare_invasion_allele	n_common_invasion_allele
blood/faeces	LMM (FaST-LMM, core-SNP kinship)	13602	0.562	372238	110	14	96
resp/faeces	LMM (FaST-LMM, core-SNP kinship)	9169	0.498	326146	88	43	45
