rung,family,auroc,auprc,gene,causal
BacF FT mean,Bacformer,0.9898309981222012,0.9938320318158512,,
CARD top: TEM,CARD,0.8032884017182641,0.8579665432846695,TEM,True
CARD all-determinant ceiling,CARD,0.9804833146412172,0.9877146327501004,,
ESM AAC(6'),ESM,0.861057345081612,0.9431013898845436,AAC(6'),False
BacF FT PmrB,Bacformer,0.9948577206413404,0.997748361174326,PmrB,False
BacF FT mean ⊕ ESM AAC(6'),Bacformer,0.9903221146901632,0.9943488705398518,AAC(6'),False
BacF FT mean ⊕ BacF FT PmrB,Bacformer,0.994164379604218,0.997380748509074,PmrB,False
BacF FT mean ⊕ frozen BacF OmpK35,Bacformer,0.9932399248880543,,OmpK35,True
